Account,Airdrop,GnoOption,UserOption,Investor,Team,Advisor
0xa4848704A3B3f61bDC42c40CA964eA7295eD101C,1557000000000000000000,,,,,
0x97EC4fcD5F78cA6f6E4E1EAC6c0Ec8421bA518B7,,6084000000000000000000,,,,
0x82850293A348107E798E5D366c10D1b566145Cd5,6502000000000000000000,134000000000000000000,,,,
0xff035E220fB2FC2C8f72eb44048Be8CE96589744,,,6714000000000000000000,,,
0x1a406B92D664990D8AE6e427fc6D8D7695EECd70,290000000000000000000,,207000000000000000000,,,
0x5254e5e5CF56BE139679B31f02C6532f8Fa65c07,,3979000000000000000000,7957000000000000000000,,,
0x24C2063ffc3D217a0fD784C065e4eF09da5334CD,3257000000000000000000,926000000000000000000,6029000000000000000000,,,
0xaB1c808a0E5820DF4F92184156f730091939D924,,,,786000000000000000000,,
0xD16725Be927d807767B72dD243aa5f2fBA4C5017,4722000000000000000000,,,7441000000000000000000,,
0x4E9a2A63077ED0dC729f83050eEc3bBa380C4A91,,3159000000000000000000,,89000000000000000000,,
0x88BaD13Cb6cBBD107023Be36Bb293947Bf332905,1870000000000000000000,8896000000000000000000,,9344000000000000000000,,
0x5979D545a5091Ec683a44E2F15f6b5A1fae4D10D,,,7404000000000000000000,6551000000000000000000,,
0xbAA6D6b168B491A4E9ea5a915d512ecccc40410f,6887000000000000000000,,7332000000000000000000,9672000000000000000000,,
0xD5e900280Eb1aDe4E583c2bF2414be247E298435,,7941000000000000000000,6994000000000000000000,4550000000000000000000,,
0xfD40fcF9AD20C8fe4936E552833696496EA88E01,5873000000000000000000,2024000000000000000000,8351000000000000000000,9819000000000000000000,,
0x949607c5fE6972C918F0e50e03dF0aF2405f2e72,,,,,94000000000000000000,
0x2e7C1e9692940607af22Bfe06980E8bD078F5b06,1633000000000000000000,,,,7004000000000000000000,
0x87D6e2C5D79a774d99d76Ae1cfa62D6Fd8A3D8B2,,,,,,5876000000000000000000
0x48d90c6416f9cB3b3Da46447AC97cF84BFE17559,7225000000000000000000,,,,,4764000000000000000000
0xE9161961D3eeC8e8F48829c020371D097e64E8eF,,6130000000000000000000,,,,1440000000000000000000
0xc966eFbd7Eac4fa34f33E7cC8d5f33c66eF0f170,6004000000000000000000,4366000000000000000000,,,,8586000000000000000000
0xe34AabC1a6680343c74B63089Eb38425EF6461c2,,,4123000000000000000000,,,4408000000000000000000
0x7E5150ea591468452620dCbAAF925E4B378492B5,3058000000000000000000,,7163000000000000000000,,,2543000000000000000000
0x5694dC13124BEC8C7455965107b81Ba80BAe257e,,7193000000000000000000,8050000000000000000000,,,3243000000000000000000
0xC9A49b13A88Bd25E133AA1A709E5c31a2fc61591,6723000000000000000000,1332000000000000000000,7062000000000000000000,,,9521000000000000000000
