Account,Airdrop,GnoOption,UserOption,Investor,Team,Advisor
0xA46Ac554D989121E86086b9423fCA891A4858af3,4397000000000000000000,,,,,
0x51f55d8c36E5A33e739d24edeC29b8826099Bf55,,1126000000000000000000,,,,
0xE89Fb5F8fEdc05Ba57965A9A1D62b51C8D0B7b73,3925000000000000000000,3925000000000000000000,,,,
0xbDbC4367Eefa2c666e1134562dfc2bbA819Ccf96,,,1118000000000000000000,,,
0x8e9746847C3454167c2157E4F6d6EA783C429f28,8032000000000000000000,,8032000000000000000000,,,
0xF36668cFC92fE8fFaA6690420595A15722C86925,,785000000000000000000,785000000000000000000,,,
0xFA1425DA8A486231Fe040cdaA76b2017df835Ad4,9037000000000000000000,9037000000000000000000,9037000000000000000000,,,
0x1a5A3017D7820B921B38b594B6354A394C0ddA6f,,,,7489000000000000000000,,
0x363E8b1b56921ee1dE2Ed79F9c8da4D205C5Be44,4608000000000000000000,,,4608000000000000000000,,
0x64BaF41925178312dF1137bA512346C5BB244572,,4619000000000000000000,,4619000000000000000000,,
0x33FFD80f44896E75e2301FEd6e49Bb1Db318aB10,2556000000000000000000,2556000000000000000000,,2556000000000000000000,,
0x59189DA8EcD47bAf27F3b8256Ecd35f7Cd2BF4D0,,,2816000000000000000000,2816000000000000000000,,
0x4B30eA535052a26EBe2d7298cf2084B52Df4a36a,7160000000000000000000,,7160000000000000000000,7160000000000000000000,,
0x6d27019Fc4Bf5A403BBf5F2CaFaF5eab81f4b9B4,,3850000000000000000000,3850000000000000000000,3850000000000000000000,,
0x01b403e35B6a81E4075d13F9FeA3B53c8967daaD,4269000000000000000000,4269000000000000000000,4269000000000000000000,4269000000000000000000,,
0x76EA63246218dE9Bd3CA6A2f3c32F089D7f0D546,,,,,2790000000000000000000,
0x20506Dd24044793aE62D59Cc69C63cd293dFd7aD,4606000000000000000000,,,,4606000000000000000000,
0xCA4e02ae7687F66b636ba12641103c932534CC5D,,,,,,228000000000000000000
0x9233ACBD3f4afDFE314c786a9d2b7c98e0695Cb0,108000000000000000000,,,,,108000000000000000000
0xe673FB2bd907A59595a58AE9B476855D4d4662B2,,5657000000000000000000,,,,5657000000000000000000
0x5dd7799f9E126596eF4f3EAdc2b576cdFD6Ef289,5847000000000000000000,5847000000000000000000,,,,5847000000000000000000
0xA2295B7B86776ddb29789aE88CA297637f5adA9e,,,283000000000000000000,,,283000000000000000000
0xdC39C0427461713c4b81DA0DcC4A5FDE67b99fD0,1557000000000000000000,,1557000000000000000000,,,1557000000000000000000
0x6e92D9beFd4f854d4F07B0e8D64B321dE4e1011f,,4378000000000000000000,4378000000000000000000,,,4378000000000000000000
0xEB62D6b8BE61c2180488D7258a0560E7f73e5CDF,9277000000000000000000,9277000000000000000000,9277000000000000000000,,,9277000000000000000000
0xab4Df56aF2Cf29712b07785F7Ee7855cAF6585dc,,,,291000000000000000000,,291000000000000000000
0x61F5A346abe8C703e8617f78AA5FbF2a8C3C8F19,7833000000000000000000,,,7833000000000000000000,,7833000000000000000000
0x996797467787942d41674fBA5296a0ADB43301a8,,4195000000000000000000,,4195000000000000000000,,4195000000000000000000
0xa39D263BcDa24f5E79a67Aa7169bBD50D907Bc56,4190000000000000000000,4190000000000000000000,,4190000000000000000000,,4190000000000000000000
0x81210896aa764e056d2F324699918888E587C024,,,1857000000000000000000,1857000000000000000000,,1857000000000000000000
0x25955ff8717953edcd7F34246D5cd36D4FB47687,4784000000000000000000,,4784000000000000000000,4784000000000000000000,,4784000000000000000000
0x933625c86A55031233fEBeFbE2886E18F1B136F2,,1688000000000000000000,1688000000000000000000,1688000000000000000000,,1688000000000000000000
0x1EBEb5823e0E26fdf1A55Ee998DDA997BfE768DA,6686000000000000000000,6686000000000000000000,6686000000000000000000,6686000000000000000000,,6686000000000000000000
0x3c9B3B22100Ed440F9ab0a467fc14321Ec025E16,,,,,829000000000000000000,829000000000000000000
0x5587e1D53247aC004FD5F9E82E447e66F61F2b80,5660000000000000000000,,,,5660000000000000000000,5660000000000000000000
0x4bE95cC4503F55fB1C9C737a1E796C8A8358B944,2426000000000000000000,,,,,
0x25A1816870a4E4Dbb33A8335A72764BF5bFddDAF,,4950000000000000000000,,,,
0x7504D79e3321f43B6CEc5687813d377f1e25408b,3306000000000000000000,3306000000000000000000,,,,
0x304e805F24066d81a90d1ECB8Da525694f40d631,,,9496000000000000000000,,,
0xcbeAd39cC0b43d14c2f240c25f3D5234bbDFF10c,7061000000000000000000,,7061000000000000000000,,,
0x4a5a539524A081A6558f15d0EA207B650dc2A98b,,342000000000000000000,342000000000000000000,,,
0x46A085EaC013D9168b8dFca430BDf8f1188540d2,8221000000000000000000,8221000000000000000000,8221000000000000000000,,,
0x2942C297ae8D67113CB3d0032df90218D6817682,,,,9256000000000000000000,,
0x539f6F4FC43b76328AB0fEEE430F10a69ACB2212,4429000000000000000000,,,4429000000000000000000,,
0x69095aE1993Bd425b51e3078e10D3b18A75ee51e,,309000000000000000000,,309000000000000000000,,
0x0078391e1474C25eF886f8e9c9d19FA6D687841A,9024000000000000000000,9024000000000000000000,,9024000000000000000000,,
0x673A7B60c5af82041b29968802b07DbE2F100ab1,,,9846000000000000000000,9846000000000000000000,,
0x96dF50BAC91bb65fF539f20213d76c760aA812b6,9153000000000000000000,,9153000000000000000000,9153000000000000000000,,
0xaceB0BD95B49F647ACf83fdbFA7cdDFC31B3b741,,9356000000000000000000,9356000000000000000000,9356000000000000000000,,
0xA0E968ce5276c3a349F0Ff98D07800d25A030970,7801000000000000000000,7801000000000000000000,7801000000000000000000,7801000000000000000000,,
0x29fB35a33366Cd38980515AEE8f21ca6FaE9f353,,,,,4675000000000000000000,
0x3639Fa2b1FD53647d881A02C7EFCaf079d98CD7F,3432000000000000000000,,,,3432000000000000000000,
0x34F20402bE083154041F21C1BB8ae4301810aE8a,,,,,,7217000000000000000000
0x0D8fbdf76764c34Bb2d75a386Df033B6e0455CF2,4467000000000000000000,,,,,4467000000000000000000
0xAFbfbAB715feECaDDf44a434DDd4a65CBDDb35b5,,7163000000000000000000,,,,7163000000000000000000
